iter	Passed	Remaining
0	12	1227
1	24	1217
2	38	1255
3	52	1259
4	63	1210
5	76	1193
6	90	1206
7	105	1212
8	121	1231
9	141	1271
10	158	1283
11	171	1258
12	185	1241
13	198	1216
14	210	1190
15	220	1160
16	233	1141
17	245	1118
18	258	1101
19	274	1097
20	286	1079
21	297	1055
22	306	1026
23	317	1005
24	330	992
25	344	980
26	360	974
27	375	966
28	387	949
29	401	936
30	415	925
31	427	908
32	438	889
33	448	870
34	458	851
35	471	838
36	483	823
37	494	806
38	504	788
39	516	774
40	532	765
41	543	750
42	556	737
43	571	726
44	578	707
45	583	685
46	595	671
47	608	659
48	620	645
49	630	630
50	643	617
51	658	607
52	672	596
53	682	581
54	693	567
55	706	554
56	718	541
57	729	527
58	738	513
59	751	501
60	763	488
61	779	477
62	791	464
63	800	450
64	812	437
65	824	424
66	834	411
67	846	398
68	861	387
69	872	373
70	886	362
71	898	349
72	906	335
73	921	323
74	934	311
75	943	297
76	955	285
77	967	272
78	980	260
79	990	247
80	1001	234
81	1012	222
82	1023	209
83	1034	196
84	1045	184
85	1059	172
86	1072	160
87	1082	147
88	1095	135
89	1108	123
90	1122	111
91	1133	98
92	1142	86
93	1149	73
94	1152	60
95	1161	48
96	1172	36
97	1184	24
98	1194	12
99	1206	0
